Entity ID,Entity,Latitude,Longitude,State (US & Canada only),Alt. 1,City,Government Affiliated?,Designer,Developer,Utility,Country of Origin,Technology Type,Funding Amount ($MM USD),Design Count,Source,Projects,Project Source,Additional Funds (USD millions),
61,HB11 Energy,,,,,,,,,,Australia,Fusion,"39,419,770",1,https://hb11.energy/,,,,
59,General Fusion,49.25,-122.97,British Columbia,,Burnaby,,Yes,,,Canada,Fusion,"310,987,200",1,http://generalfusion.com/,,,,
87,LeadCold,53.55,-113.49,Alberta,,Edmonton,,Yes,,,Canada,Liquid Metal-Cooled Fast Reactor,"209,175,502",1,http://leadcold.com/index.html,,,,
96,Moltex Energy,45.27,-66.06,New Brunswick,,Saint John,,Yes,,,Canada,Molten Salt Reactor,"45,748,195",2,https://www.moltexenergy.com/,,,,
152,Terrestrial Energy,43.57,-79.63,Ontario,,Mississauga,,,,,Canada,Molten Salt Reactor,"33,340,493",2,http://www.terrestrialenergy.com/,,,,
1,Aalo Atomics,,,,,Toronto,,Yes,,,Canada,Microreactor,"6,260,000",1,https://www.terrestrialenergy.com/,,,,
55,Fuse,45.57,-73.59,Quebec,,Montreal,,Yes,,,Canada,Fusion,0,1,https://www.f.energy/,,,,
109,Northern Nuclear,43.42,-80.33,Ontario,,Cambridge,,Yes,,,Canada,Liquid Metal-Cooled Fast Reactor,0,1,https://www.nuclearalliance.uk/,,,,
143,Starcore Nuclear,45.50,-73.59,Québec,,Montreal,,,,,Canada,High Temperature Gas-Cooled,0,1,http://starcorenuclear.ca/#!/welcome/,,,,
39,Dunedin,43.65,-79.38,Ontario,,Toronto,,Yes,,,Canada,Microreactor,0,1,https://www.dunedinenergy.ca/,,,,
200,Neo Fusion,,,,,,,,,,China,Fusion,"208,980,593",1,,,,,
32,Copenhagen Atomics,55.74,12.48,,,Copenhagen,,Yes,,,Denmark,Molten Salt Reactor,"27,601,937",2,https://aris.iaea.org/Publications/SMR-Book_2018.pdf,,,,
130,Seaborg Technologies,55.70,12.55,,,Copenhagen,,,,,Denmark,Molten Salt Reactor,"26,681,000",1,https://aris.iaea.org/PDF/MSTW.pdf,,,,
116,Orano,48.81,2.30,,,Châtillon,,Yes,,,France,Next-Generation Fuel; Waste Management,"538,400,000",0,https://www.orano.group/en,,,,
77,Jimmy Energy,,,,Jimmy,,,Yes,,,France,High Temperature Gas-Cooled,"16,086,000",1,https://www.jimmy-energy.eu/,,,,
127,Renaissance Fusion,45.19,5.67,,,Fontaine,,,,,France,Fusion,"16,086,000",1,https://renfusion.eu/,,,,
65,Hexana,,,,,,,Yes,,,France,Liquid Metal-Cooled Fast Reactor,0,1,,,,,
145,Stellaria,,,,,,,,,,France,Molten Salt Reactor,0,1,https://www.stellaria-energy.com/,,,,
93,Marvel Fusion,48.13,11.55,,,Munich,,Yes,,,Germany,Fusion,"37,534,000",1,https://marvelfusion.com/,,,,
123,Proxima Fusion,,,,,Munich,,,,,Germany,Fusion,"7,506,800",1,https://www.proximafusion.com/,,,,
110,NT-TAO,,,,,Hod Hasharon,,Yes,,,Israel,Fusion,"22,000,000",1,https://www.proximafusion.com/,,,,
201,Kyoto Fusioneering,35.69,139.76,,,Tokyo,,,,,Japan,Fusion,"92,095,736",1,https://kyotofusioneering.com/en/,,,,
27,CLEAN PLANET,35.68,139.76,,,Tokyo,,,,,Japan,Fusion,"7,127,934",1,https://www.cleanplanet.co.jp/,,,,
49,EX-Fusion,34.82,135.52,,,Osaka,,Yes,,,Japan,Fusion,"930,166",1,https://www.ex-fusion.com/,,,,
158,Toshiba Corporation,35.53,139.69,,,Kawasaki,,,,,Japan,Liquid Metal-Cooled Fast Reactor; Microreactor,0,2,https://aris.iaea.org/Publications/SMR_Book_2020.pdf,,,,
153,Thor Energy,60.15,11.35,,,Vormsund,,,,,Norway,Water-Cooled; Next-Generation Fuel,0,0,http://thorenergy.no/,,,,
117,PBMR SOC Ltd,-26.04,28.09,,,Johannesburg,,Yes,,,South Africa,High Temperature Gas-Cooled,0,1,http://www.pbmr.co.za/index2.asp,,,,
146,Steenkampskraal Thorium (Pty) Limited (STL Nuclear),,,,,,,,,,South Africa,High Temperature Gas-Cooled,0,1,https://www.thorium100.com/,,,,
142,STAR Energy SA,46.20,6.15,,,Geneva,,,,,Switzerland,Water-Cooled,0,1,https://www.starenergysa.com/,,,,
156,Thorizon,52.39,4.84,,,Amsterdam,,,,,The Netherlands,Molten Salt Reactor,"13,405,000",1,https://www.thorizon.com/,,,,
128,Rolls-Royce SMR Ltd.,51.52,-0.38,,,London,,,,,United Kingdom,Water-Cooled,"633,374,400",1,https://aris.iaea.org/PDF/UK-SMR_2020.pdf,,,,
106,Newcleo,51.51,-0.16,,,London,,Yes,,,United Kingdom,Liquid Metal-Cooled Fast Reactor; Microreactor,"439,720,000",2,https://www.newcleo.com/,,,,
33,Core Power,51.49,-0.27,,CORE POWER (UK) Ltd,London,,Yes,,,United Kingdom,Molten Salt Reactor,"104,700,000",1,https://corepower.energy/,,,,
51,First Light Fusion,51.80,-1.30,,,Yarnton,,Yes,,,United Kingdom,Fusion,"73,302,360",1,https://firstlightfusion.com/,,,,
164,U-Battery Limited,51.84,-1.37,,,Buckinghamshire,,,,,United Kingdom,Molten Salt Reactor,"13,091,207",1,https://www.u-battery.com/,,,,
124,Pulsar Fusion,,,,,Bletchley,,,,,United Kingdom,Fusion,"24,936,000",1,https://pulsarfusion.com/,,,,
97,MoltexFlex,53.43,-2.53,,,Warrington,,,,,United Kingdom,Molten Salt Reactor,0,1,https://www.moltexflex.com/,,,,
36,Crossfield Fusion,51.53,-0.09,,,London,,,,,United Kingdom,Fusion,0,1,https://crossfieldfusion.com/,,,,
157,Tokamak Energy,51.62,-1.28,,,Oxfordshire,,,,,United Kingdom,Fusion,0,2,https://www.tokamakenergy.co.uk/,,,,
58,General Electric-Hitachi,34.20,-77.87,North Carolina,,Wilmington,,Yes,,,United States,Water-Cooled,"4,016,100,000",7,http://gehitachiprism.com/,,,,
151,Terrapower,47.61,-122.17,Washington,,Bellevue,,,,,United States,Liquid Metal-Cooled Fast Reactor; Molten Salt Reactor; Sodium Fast Reactor,"2,818,174,484",3,http://terrapower.com/news/terrapowers-continuing-innovation,,,,
63,Helion Energy,47.69,-122.12,Washington,,Redmond,,Yes,,,United States,Fusion,"2,271,300,000",1,https://www.helionenergy.com/,,,,
31,Commonwealth Fusion Systems,,,Massachusetts,Commonwealth Fusion,Cambridge,,Yes,,,United States,Fusion,"1,999,000,000",2,https://cfs.energy/,,,,
150,TAE Technologies,33.68,-117.67,California,,Foothill Ranch,,No,,,United States,Fusion,"1,334,334,000",1,https://tae.com/,,,,
