Entity ID,Entity,Latitude,Longitude,State (US & Canada only),Alt. 1,City,Government Affiliated?,Designer,Developer,Utility,Country of Origin,Technology Type,Funding Amount ($MM USD),Design Count,Source,Projects,Project Source,Additional Funds (USD millions)
61,HB11 Energy,,,,,,,,,,Australia,Fusion,"39,419,770",1,https://hb11.energy/,,,
59,General Fusion,49.25,-122.97,British Columbia,,Burnaby,,Yes,,,Canada,Fusion,"310,987,200",1,http://generalfusion.com/,,,
87,LeadCold,53.55,-113.49,Alberta,,Edmonton,,Yes,,,Canada,Liquid Metal-Cooled Fast Reactor,"209,175,502",1,http://leadcold.com/index.html,,,
96,Moltex Energy,45.12,-66.32,New Brunswick,,Saint John,,Yes,,,Canada,Molten Salt Reactor,"45,748,195",2,https://www.moltexenergy.com/,,,
152,Terrestrial Energy,43.57,-79.63,Ontario,,Mississauga,,,,,Canada,Molten Salt Reactor,"33,340,493",2,http://www.terrestrialenergy.com/,,,
1,Aalo Atomics,,,,,Toronto,,Yes,,,Canada,Microreactor,"6,260,000",1,https://www.terrestrialenergy.com/,,,
55,Fuse,45.57,-73.59,Quebec,,Montreal,,Yes,,,Canada,Fusion,0,1,https://www.f.energy/,,,
109,Northern Nuclear,43.42,-80.33,Ontario,,Cambridge,,Yes,,,Canada,Liquid Metal-Cooled Fast Reactor,0,1,https://www.nuclearalliance.uk/,,,
143,Starcore Nuclear,45.58,-73.59,Québec,,Montreal,,,,,Canada,High Temperature Gas-Cooled,0,1,http://starcorenuclear.ca/#!/welcome/,,,
39,Dunedin,43.65,-79.38,Ontario,,Toronto,,Yes,,,Canada,"Modular Design, Thermal Battery",0,1,https://www.dunedinenergy.ca/,,,
200,Neo Fusion,,,,,,,,,,China,Fusion,"208,980,593",1,,,,
32,Copenhagen Atomics,55.74,12.48,,,Copenhagen,,Yes,,,Denmark,Molten Salt Reactor,"27,601,937",2,https://aris.iaea.org/Publications/SMR-Book_2018.pdf,,,
130,Seaborg Technologies,55.70,12.55,,,Copenhagen,,,,,Denmark,Molten Salt Reactor,"26,681,000",1,https://aris.iaea.org/PDF/MSTW.pdf,,,
116,Orano,,,,,,,Yes,,,France,"Pressurized water reactor, Boiling water reactor, High level waste vitrification","538,400,000",0,https://www.orano.group/en,,,
77,Jimmy Energy,,,,Jimmy,,,Yes,,,France,High Temperature Gas-Cooled,"16,086,000",1,https://www.jimmy-energy.eu/,,,
127,Renaissance Fusion,,,,,,,,,,France,Fusion,"16,086,000",1,https://renfusion.eu/,,,
65,Hexana,,,,,,,Yes,,,France,Liquid Metal-Cooled Fast Reactor,0,1,,,,
145,Stellaria,,,,,,,,,,France,Molten Salt Reactor,0,1,https://www.stellaria-energy.com/,,,
93,Marvel Fusion,,,,,Munich,,Yes,,,Germany,Fusion,"37,534,000",1,https://marvelfusion.com/,,,
123,Proxima Fusion,,,,,,,,,,Germany,Fusion,"7,506,800",1,https://www.proximafusion.com/,,,
110,NT-TAO,,,,,,,Yes,,,Israel,Fusion,"22,000,000",1,https://www.proximafusion.com/,,,
201,Kyoto Fusioneering,,,,,,,,,,Japan,Fusion,"92,095,736",1,https://kyotofusioneering.com/en/,,,
27,CLEAN PLANET,,,,,,,,,,Japan,Fusion,"7,127,934",1,https://www.cleanplanet.co.jp/,,,
49,EX-Fusion,,,,,,,Yes,,,Japan,Fusion,"930,166",1,https://www.ex-fusion.com/,,,
158,Toshiba Corporation,35.53,139.69,,,Kawasaki,,,,,Japan,Liquid Metal-Cooled Fast Reactor; Microreactor,0,2,https://aris.iaea.org/Publications/SMR_Book_2020.pdf,,,
153,Thor Energy,,,,,,,,,,Norway,"Light Water Reactor, Thorium based fuel",0,0,http://thorenergy.no/,,,
117,PBMR SOC Ltd,,,,,,,Yes,,,South Africa,High Temperature Gas-Cooled,0,1,http://www.pbmr.co.za/index2.asp,,,
146,Steenkampskraal Thorium (Pty) Limited (STL Nuclear),,,,,,,,,,South Africa,High Temperature Gas-Cooled,0,1,https://www.thorium100.com/,,,
142,STAR Energy SA,,,,,,,,,,Switzerland,Water-Cooled,0,1,https://www.starenergysa.com/,,,
156,Thorizon,,,,,,,,,,The Netherlands,Molten Salt Reactor,"13,405,000",1,https://www.thorizon.com/,,,
128,Rolls-Royce SMR Ltd.,51.52,-0.38,,,London,,,,,United Kingdom,Water-Cooled,"633,374,400",1,https://aris.iaea.org/PDF/UK-SMR_2020.pdf,,,
106,Newcleo,,,,,,,Yes,,,United Kingdom,Liquid Metal-Cooled Fast Reactor; Microreactor,"439,720,000",2,https://www.newcleo.com/,,,
33,Core Power,,,,CORE POWER (UK) Ltd,,,Yes,,,United Kingdom,Molten Salt Reactor,"104,700,000",1,https://corepower.energy/,,,
51,First Light Fusion,,,,,,,Yes,,,United Kingdom,Fusion,"73,302,360",1,https://firstlightfusion.com/,,,
164,U-Battery Limited,51.84,-1.37,,,Buckinghamshire,,,,,United Kingdom,Molten Salt Reactor,"13,091,207",1,https://www.u-battery.com/,,,
124,Pulsar Fusion,,,,,,,,,,United Kingdom,Fusion,0,1,https://pulsarfusion.com/,,,
97,MoltexFlex,,,,,,,,,,United Kingdom,Molten Salt Reactor,0,1,https://www.moltexflex.com/,,,
36,Crossfield Fusion,,,,,,,,,,United Kingdom,Fusion,0,1,https://crossfieldfusion.com/,,,
157,Tokamak Energy,,,,,Oxfordshire,,,,,United Kingdom,Fusion,0,2,https://www.tokamakenergy.co.uk/,,,
58,General Electric-Hitachi,34.20,-77.87,North Carolina,,Wilmington,,Yes,,,United States,Water-Cooled,"4,016,100,000",7,http://gehitachiprism.com/,,,
151,Terrapower,47.61,-122.17,Washington,,Bellevue,,,,,United States,Liquid Metal-cooled Fast Reactor; Molten Salt Reactor; Sodium Fast Reactor,"2,818,174,484",3,http://terrapower.com/news/terrapowers-continuing-innovation,,,
63,Helion Energy,47.69,-122.12,Washington,,Redmond,,Yes,,,United States,Fusion,"2,271,300,000",1,https://www.helionenergy.com/,,,
31,Commonwealth Fusion Systems,,,Massachusetts,Commonwealth Fusion,Cambridge,,Yes,,,United States,Fusion,"1,999,000,000",2,https://cfs.energy/,,,
150,TAE Technologies,33.68,-117.67,California,,Foothill Ranch,,No,,,United States,Fusion,"1,334,334,000",1,https://tae.com/,,,
112,NuScale Power Corporation,43.85,-120.53,Oregon,NuScale Power,Corvallis,,Yes,,,United States,Water-Cooled,"757,000,000",1,http://www.nuscalepower.com/,,,
17,"BWX Technologies, Inc",,,,BWX Technologies,,,Yes,,,United States,High Temperature Gas-Cooled,"740,700,000",1,https://www.bwxt.com/,,,
133,SHINE Technologies,43.05,-89.33,Wisconsin,,Monona,No,,,,United States,Fusion,"445,000,000",1,http://shinemed.com/technology/,,,
